director,title,budget,revenue,return,year
Yasujirō Ozu,Tokyo Story,,,,1953
Éric Rohmer,The Green Ray,,,,1986
George Lucas,THX 1138,777000.0,2437000.0,3.1364221364221363,1971
Mark Robson,Valley of the Dolls,5000000.0,50000000.0,10.0,1967
Sherman Alexie,The Business of Fancydancing,200000.0,,,2002
Im Kwon-taek,Chunhyang,,,,2000
Ronald Neame,Tunes of Glory,,,,1960
Robert Hamer,Kind Hearts and Coronets,,,,1949
Edward Burns,Ash Wednesday,,,,2002
John Sturges,Joe Kidd,,6330000.0,,1972
Michael Mann,The Keep,6000000.0,3661757.0,0.6102928333333333,1983
Ishirô Honda,Atragon,,,,1963
Ishirô Honda,The Mysterians,,,,1957
Bert I. Gordon,Attack of the Puppet People,,,,1958
Eugène Lourié,"The Beast from 20,000 Fathoms",210000.0,5000000.0,23.80952380952381,1953
Blake Edwards,10,,74865517.0,,1979
Ron Underwood,Tremors,11000000.0,48572000.0,4.415636363636364,1990
Michael Powell,The Red Shoes,500000.0,,,1948
Michael Apted,Me & Isaac Newton,,,,2000
Blake Edwards,The Pink Panther,,10878107.0,,1963
Blake Edwards,The Pink Panther Strikes Again,6000000.0,33833201.0,5.638866833333333,1976
Mark L. Lester,Commando,10000000.0,57500000.0,5.75,1985
John Badham,Dracula,,,,1979
Luis Buñuel,The Discreet Charm of the Bourgeoisie,800000.0,,,1972
William Gazecki,Waco: The Rules of Engagement,,,,1997
Zhang Yimou,The Road Home,,,,1999
Akira Kurosawa,Ikiru,,55240.0,,1952
James Robinson,Comic Book Villains,,,,2002
Jane Campion,An Angel at My Table,,,,1990
Christian Frei,War Photographer,,,,2001
Carlos Saura,"Ay, Carmela!",,2000000.0,,1990
Anand Patwardhan,War and Peace,,,,2002
André Téchiné,Far Away,,,,2001
Michael Apted,Incident at Oglala,,,,1992
Michael Benson,Predictions of Fire,,,,1996
Volker Schlöndorff,The Handmaid's Tale,,,,1990
J.T.S. Moore,Revolution OS,,,,2001
Vicky Funari,Live Nude Girls Unite!,,48752.0,,2000
Jeremy Thomas,All the Little Animals,,,,1999
Deepa Mehta,Earth,,528972.0,,1998
Deepa Mehta,Fire,,501533.0,,1996
Luchino Visconti,Death in Venice,,,,1971
Richard Benjamin,Marci X,20000000.0,1675706.0,0.0837853,2003
Gordon Chan,The Medallion,41000000.0,,,2003
David Zucker,My Boss's Daughter,14000000.0,,,2003
Vladimír Michálek,Autumn Spring,,,,2001
Kyle Rankin,The Battle of Shaker Heights,1000000.0,,,2003
Agustín Díaz Yanes,Don't Tempt Me,1200000.0,,,2001
Milčo Mančevski,Dust,,,,2001
Helen Stickler,Stoked: The Rise And Fall Of Gator,,,,2004
Gabrielle Baur,Venus Boyz,,,,2002
Diego Lerman,Suddenly,,,,2002
Victor Salva,Jeepers Creepers 2,17000000.0,63102666.0,3.711921529411765,2003
Deepa Mehta,Bollywood/Hollywood,,,,2002
Neema Barnette,Civil Brand,,,,2003
Alan Hruska,Nola,,10550.0,,2003
Shane Meadows,Once Upon a Time in the Midlands,,,,2002
Emilio Martínez Lázaro,The Other Side of the Bed,,,,2002
Ben Coccio,Zero Day,20000.0,,,2003
Sam Weisman,Dickie Roberts: Former Child Star,,,,2003
Brian Helgeland,The Order,35000000.0,11560806.0,0.33030874285714285,2003
Paul F. Ryan,Home Room,,,,2002
Fenton Bailey,Party Monster,5000000.0,742898.0,0.1485796,2003
István Szabó,Taking Sides,,,,2001
Eli Roth,Cabin Fever,1500000.0,30553394.0,20.368929333333334,2003
Ridley Scott,Matchstick Men,62000000.0,65565672.0,1.0575108387096774,2003
Robert Rodriguez,Once Upon a Time in Mexico,29000000.0,98185582.0,3.3857097241379313,2003
Greg Pritikin,Dummy,,,,2002
Sofia Coppola,Lost in Translation,4000000.0,119723856.0,29.930964,2003
Adam Mason,Luster,,,,2010
Satoshi Kon,Millennium Actress,,37641.0,,2001
Corey Yuen Kwai,So Close,,,,2002
Tony Randel,Children Of The Night,,,,1991
Peter Bogdanovich,Daisy Miller,2000000.0,,,1974
Doris Dörrie,Enlightenment Guaranteed,,,,2000
Jeff Kanew,Gotcha!,,8800000.0,,1985
Larry Peerce,Hard to Hold,,,,1984
Bruce A. Evans,Kuffs,,,,1992
Tsui Hark,Once Upon a Time in China,,3826459.0,,1991
Tsui Hark,Once Upon a Time in China II,,30399676.0,,1992
Tsui Hark,Once Upon a Time in China III,,27540561.0,,1993
Peter Bogdanovich,Paper Moon,,,,1973
Michael Schultz,Sgt. Pepper's Lonely Hearts Club Band,18000000.0,,,1978
Bille August,A Song for Martin,,,,2001
Peter Bogdanovich,Targets,,,,1968
George Englund,The Ugly American,,,,1963
James Ivory,The Bostonians,,,,1984
Sam Peckinpah,Convoy,12000000.0,22765081.0,1.8970900833333333,1978
George A. Romero,Day of the Dead,3500000.0,34000000.0,9.714285714285714,1985
Gene Kelly,"Hello, Dolly!",24000000.0,33208099.0,1.3836707916666666,1969
Manoel de Oliveira,I'm Going Home,,,,2001
John Carpenter,Memoirs of an Invisible Man,40000000.0,14358033.0,0.358950825,1992
Mark Rydell,The Rose,9250000.0,29174648.0,3.154016,1979
Richard Fleischer,See No Evil,,,,1971
,Super Sucker,,,,2002
Vittorio De Sica,Indiscretion of an American Wife,,,,1953
Hal Walker,At War with the Army,,,,1950
Matthew Robbins,Bingo,,,,1991
Larry Cohen,God Told Me To,,,,1976
Tibor Takács,"I, Madman",,151203.0,,1989
Zoltan Korda,Jungle Book,,,,1942
Howard Storm,Once Bitten,3200000.0,10000000.0,3.125,1985
Alan Smithee,Shrimp on the Barbie,,458996.0,,1990
Jeff Lieberman,Squirm,,,,1976
Michael Curtiz,The Adventures of Huckleberry Finn,,,,1960
David Cronenberg,The Brood,1355000.0,,,1979
William Keighley,The Prince and the Pauper,,,,1937
Woody Allen,Anything Else,,,,2003
Mike Figgis,Cold Creek Manor,,21384035.0,,2003
Jonathan Lynn,The Fighting Temptations,15000000.0,30238577.0,2.0159051333333333,2003
Tim McCanlies,Secondhand Lions,,,,2003
Len Wiseman,Underworld,22000000.0,95708457.0,4.350384409090909,2003
Don Coscarelli,Bubba Ho-tep,1000000.0,,,2002
John Sayles,Casa de los Babys,,,,2003
Olivier Assayas,Demonlover,,,,2002
,Esmeraldero,,,,2003
Nick Willing,Close Your Eyes,,,,2002
Michael Winterbottom,In This World,,,,2002
Tom Piozet,Tibet: Cry of the Snow Lion,,,,2002
Eytan Fox,Yossi & Jagger,,,,2002
Danny DeVito,Duplex,40000000.0,19322135.0,0.483053375,2003
Peter Berg,The Rundown,85000000.0,80916492.0,0.9519587294117647,2003
Audrey Wells,Under the Tuscan Sun,18000000.0,58878723.0,3.271040166666667,2003
,Camera Obscura,,,,2000
Stuart Gillard,Kart Racer,,,,2003
Eric Till,Luther,,,,2003
Émile Gaudreault,Mambo Italiano,4361898.0,3031801.0,0.6950646255368649,2003
Isabel Coixet,My Life Without Me,,9726954.0,,2003
David Hillenbrand,National Lampoon Presents Dorm Daze,,,,2003
Nicolas Philibert,To Be and to Have,1000000.0,,,2002
Sylvain Chomet,The Triplets of Belleville,8000000.0,1477676.0,0.1847095,2003
David Cronenberg,Videodrome,5952000.0,2120439.0,0.35625655241935483,1983
Stephanie Black,Life and Debt,,,,2003
Ashutosh Gowariker,Lagaan: Once Upon a Time in India,5200000.0,8100000.0,1.5576923076923077,2001
Stanley Kramer,Judgment at Nuremberg,3000000.0,10000000.0,3.3333333333333335,1961
Xavier Koller,Journey of Hope,,,,1990
Robert Mulligan,"Same Time, Next Year",118.0,19.0,0.16101694915254236,1978
Errol Morris,A Brief History of Time,,,,1991
Frank Beyer,Jacob the Liar,,,,1974
Aki Kaurismäki,Leningrad Cowboys Go America,,,,1989
Jean Renoir,The Rules of the Game,8847685.0,,,1939
Joe Massot,The Song Remains the Same,,,,1976
Stanley Donen,Seven Brides for Seven Brothers,,5000000.0,,1954
Hector Babenco,Kiss of the Spider Woman,,,,1985
Alan J. Pakula,All the President's Men,8500000.0,70600000.0,8.305882352941177,1976
Martha Coolidge,Angie,,,,1994
Gilles Mimouni,The Apartment,,,,1996
Mamoru Oshii,Avalon,8000000.0,8826094.0,1.10326175,2001
Gabriel Axel,Babette's Feast,,4398938.0,,1987
Nikita Mikhalkov,The Barber of Siberia,35000000.0,,,1998
Brian Levant,Beethoven,,147214049.0,,1992
Rod Daniel,Beethoven's 2nd,15000000.0,118243066.0,7.882871066666667,1993
Harley Cokeliss,Black Moon Rising,,6637565.0,,1986
John Singleton,Boyz n the Hood,6500000.0,57504069.0,8.846779846153845,1991
Barry Levinson,Bugsy,30000000.0,49114016.0,1.6371338666666666,1991
Alan Parker,Bugsy Malone,,,,1976
Jeremy Kagan,By the Sword,,,,1991
George P. Cosmatos,Cobra,,49042224.0,,1986
Álex de la Iglesia,Common Wealth,,,,2000
Alan J. Pakula,Consenting Adults,18000000.0,21591728.0,1.1995404444444444,1992
Dario Argento,Phenomena,3800000.0,,,1985
Sam Raimi,Crimewave,3000000.0,,,1985
Christophe Gans,Crying Freeman,6100000.0,,,1995
Tsui Hark,Time and Tide,,,,2000
Terry Gilliam,The Meaning of Life,,,,1983
Brian G. Hutton,Where Eagles Dare,7700000.0,21000000.0,2.727272727272727,1968
Richard Tuggle,Tightrope,,48143579.0,,1984
Joseph Ruben,Sleeping with the Enemy,19000000.0,174999005.0,9.21047394736842,1991
Hart Bochner,PCU,9000000.0,4350774.0,0.4834193333333333,1994
Clint Eastwood,The Rookie,10000000.0,21633874.0,2.1633874,1990
Alan Rafkin,The Ghost & Mr. Chicken,700000.0,,,1966
Richard Benjamin,City Heat,25000000.0,38348988.0,1.53395952,1984
John Landis,Into the Night,11400000.0,6700000.0,0.5877192982456141,1985
Phil Joanou,Three O'Clock High,,3685862.0,,1987
Clint Eastwood,White Hunter Black Heart,,,,1990
Elem Klimov,Come and See,,,,1985
Bill Duke,A Rage in Harlem,8000000.0,10400000.0,1.3,1991
John Fawcett,Ginger Snaps,5000000.0,,,2000
Bill L. Norton,More American Graffiti,2500000.0,15014674.0,6.0058696,1979
Maggie Greenwald,The Ballad of Little Jo,,,,1993
Simon Moore,Under Suspicion,,221295.0,,1991
John Mackenzie,Ruby,,,,1992
Edward Montagne,The Reluctant Astronaut,,,,1967
Alan Rafkin,The Shakiest Gun in the West,,,,1968
Adam Bernstein,It's Pat,,,,1994
John Trent,Sunday in the Country,,,,1974
Allan Moyle,The Gun in Betty Lou's Handbag,13000000.0,3721911.0,0.28630084615384616,1992
David Miller,Sudden Fear,,,,1952
David Seltzer,Nobody's Baby,,,,2001
Mike Nichols,Regarding Henry,,,,1991
Gene Cajayon,The Debut,1000000.0,,,2000
Glenn Gordon Caron,Wilder Napalm,,,,1993
Luigi Cozzi,Contamination,,,,1980
Edgar G. Ulmer,The Amazing Transparent Man,,,,1960
Leo McCarey,Love Affair,,,,1939
Laurence Fishburne,Once in the Life,,,,2000
Jeffrey Porter,Try Seventeen,,,,2002
Arthur Hiller,The Hospital,,,,1971
Howard Deutch,Article 99,18000000.0,6375979.0,0.35422105555555555,1992
Robert Altman,Images,,,,1972
Nicolas Roeg,Eureka,,123572.0,,1983
David Mamet,Oleanna,,124693.0,,1994
Mick Jackson,Chattahoochee,,,,1989
Norman Mailer,Tough Guys Don't Dance,5000000.0,858250.0,0.17165,1987
Floyd Mutrux,There Goes My Baby,10500000.0,123509.0,0.011762761904761904,1994
John 'Bud' Cardos,Kingdom of the Spiders,500000.0,17000000.0,34.0,1977
Ronald Neame,Scrooge,,,,1970
Richard Pearce,Leap of Faith,,,,1992
Allison Anders,Gas Food Lodging,,1345236.0,,1992
Richard Brooks,In Cold Blood,3500000.0,13007551.0,3.716443142857143,1967
Ron Casden,Campus Man,,989000.0,,1987
James B. Harris,The Bedford Incident,,,,1965
Jean-Pierre Denis,Murderous Maids,,,,2000
Michael Curtiz,Yankee Doodle Dandy,,,,1942
Yoshiaki Kawajiri,Ninja Scroll,,,,1993
Roman Polanski,Knife in the Water,,,,1962
William Dieterle,The Devil and Daniel Webster,,,,1941
Michael Karbelnikoff,Mobsters,23000000.0,20246790.0,0.8802952173913043,1991
Eric Byler,Charlotte Sometimes,,,,2002
Carl Franklin,Out of Time,50000000.0,55495563.0,1.10991126,2003
Richard Linklater,School of Rock,35000000.0,131282949.0,3.7509414,2003
David Leland,Concert for George,,,,2002
Thom Fitzgerald,The Event,,,,2003
Lab Ky Mo,9 Dead Gay Guys,,,,2003
Tom McCarthy,The Station Agent,500000.0,8679814.0,17.359628,2003
James Cox,Wonderland,5000000.0,2466444.0,0.4932888,2003
José Padilha,Bus 174,,217201.0,,2002
Clint Eastwood,Mystic River,25000000.0,156822020.0,6.2728808,2003
John Robert Hoffman,Good Boy!,17000000.0,,,2003
Uwe Boll,House of the Dead,7000000.0,13818181.0,1.974025857142857,2003
Joel Coen,Intolerable Cruelty,60000000.0,119940815.0,1.9990135833333333,2003
Quentin Tarantino,Kill Bill: Vol. 1,30000000.0,180949000.0,6.031633333333334,2003
Mark Decena,Dopamine,,22278.0,,2003
Claude Chabrol,The Flower of Evil,,,,2003
Richard Day,Girls Will Be Girls,,,,2003
Jacques Nolot,Porn Theater,,,,2002
Gary Fleder,Runaway Jury,60000000.0,80154140.0,1.3359023333333333,2003
Marcus Nispel,The Texas Chainsaw Massacre,9500000.0,107071655.0,11.270700526315789,2003
Peter Hedges,Pieces of April,300000.0,,,2003
Takashi Yamazaki,Returner,,,,2002
Christine Jeffs,Sylvia,7000000.0,10000000.0,1.4285714285714286,2003
Joel Schumacher,Veronica Guerin,17000000.0,1569918.0,0.09234811764705882,2003
Jane Campion,In the Cut,12000000.0,23.0,1.916666666666667e-06,2003
Martin Campbell,Beyond Borders,35000000.0,,,2003
Mike Tollin,Radio,32000000.0,52277485.0,1.63367140625,2003
David Zucker,Scary Movie 3,48000000.0,220673217.0,4.5973586875,2003
Aaron Blaise,Brother Bear,100000000.0,,,2003
Gus Van Sant,Elephant,3000000.0,10012022.0,3.3373406666666665,2003
Todd Stephens,Gypsy 83,,,,2001
Keith Gordon,The Singing Detective,,,,2003
Peter Collinson,The Italian Job,3000000.0,,,1969
Graham Baker,Impulse,,,,1984
Jane Anderson,Normal,,,,2003
Claude Lanzmann,Shoah,,,,1985
P.J. Hogan,Unconditional Love,,,,2002
Ken Loach,Sweet Sixteen,,,,2002
Albert Pyun,Alien from L.A.,,,,1988
John Frankenheimer,Black Sunday,,,,1977
William Reilly,Men of Respect,,,,1990
Bob Gale,Interstate 60,7000000.0,,,2002
Lamont Johnson,Lipstick,,,,1976
Mark Frost,Storyville,,,,1992
Christopher Cain,That was Then... This is Now,,,,1985
Leonard Nimoy,Holy Matrimony,,616938.0,,1994
Edward Ludwig,The Black Scorpion,,,,1957
Danny Pang,The Eye,,,,2002
Brian Clemens,Captain Kronos: Vampire Hunter,400000.0,,,1974
Alfred E. Green,The Jolson Story,,,,1946
Sidney Lanfield,You'll Never Get Rich,,,,1941
Terence Fisher,Frankenstein and the Monster from Hell,,,,1973
Stuart Urban,Preaching to the Perverted,,,,1997
Bernard Rose,Chicago Joe and the Showgirl,,,,1990
Bert I. Gordon,The Magic Sword,,,,1962
Michael Hoffman,Promised Land,,316000.0,,1987
Satyajit Ray,Aparajito,,170215.0,,1956
Peter Fonda,The Hired Hand,,,,1971
Jean-Pierre Melville,Le Cercle Rouge,,,,1970
Andrzej Wajda,Man of Marble,,,,1977
John Rawlins,Sherlock Holmes and the Voice of Terror,,,,1942
Roy William Neill,Sherlock Holmes Faces Death,,,,1943
Roy William Neill,Sherlock Holmes in Washington,,,,1943
Richard Quine,The Solid Gold Cadillac,,,,1956
Robert Benton,The Human Stain,30000000.0,,,2003
Mark Rucker,"Die, Mommie, Die!",,320092.0,,2003
Michael Covert,Dirt,,,,2001
Liz Garbus,Girlhood,,,,2003
Robert Capelli Jr.,Mail Order Bride,,,,2003
Billy Ray,Shattered Glass,6000000.0,2944752.0,0.490792,2003
John D. Hancock,Suspended Animation,,,,2001
Lilly Wachowski,The Matrix Revolutions,150000000.0,424988211.0,2.83325474,2003
Kim Bartley,The Revolution Will Not Be Televised,,,,2003
Jon Favreau,Elf,32000000.0,173398518.0,5.4187036875,2003
Robert Cary,Standard Time,,,,2002
Philip Boston,Billabong Odyssey,,,,2003
Rolf Schübel,Gloomy Sunday,,585604.0,,1999
Marina de Van,In My Skin,,,,2002
,Just an American Boy,,,,2003
Richard Curtis,Love Actually,40000000.0,244931766.0,6.12329415,2003
Rodolphe Marconi,Love Forbidden,,,,2002
Charles Shyer,Father of the Bride,,89325780.0,,1991
Nathaniel Kahn,My Architect,,,,2003
Joe Dante,Looney Tunes: Back in Action,80000000.0,68514844.0,0.85643555,2003
Peter Weir,Master and Commander: The Far Side of the World,150000000.0,212011111.0,1.4134074066666666,2003
Lauren Lazin,Tupac: Resurrection,300000.0,7808524.0,26.028413333333333,2003
Steve Anderson,The Big Empty,,,,2003
Ron Howard,The Missing,60000000.0,,,2003
Bo Welch,The Cat in the Hat,,,,2003
Mathieu Kassovitz,Gothika,40000000.0,141591324.0,3.5397831,2003
Alejandro González Iñárritu,21 Grams,20000000.0,60427839.0,3.02139195,2003
Denys Arcand,The Barbarian Invasions,8000000.0,3432342.0,0.42904275,2003
Yee Chin-Yen,Blue Gate Crossing,,,,2002
Terry Zwigoff,Bad Santa,23000000.0,76488889.0,3.3256038695652173,2003
Rob Minkoff,The Haunted Mansion,90000000.0,182290266.0,2.0254474,2003
Richard Donner,Timeline,80000000.0,43935763.0,0.5491970375,2003
Henri Xhonneux,Marquis,,,,1989
Louis Malle,Damage,,7532911.0,,1992
Scott Hamilton Kennedy,OT: Our Town,,,,2002
Lucy Walker,Devil's Playground,,,,2002
Mike Newell,Dance with a Stranger,,,,1985
Alexandra Pelosi,Journeys with George,,,,2002
Sam Raimi,Darkman,16000000.0,48878502.0,3.054906375,1990
Alberto Cavalcanti,Dead of Night,,,,1945
Stephen Norrington,Death Machine,,1422749.0,,1994
Luc Besson,The Last Battle,,,,1983
Walter Lang,Desk Set,,,,1957
Lars von Trier,Europa,,,,1991
Cheryl Dunye,The Watermelon Woman,,,,1996
Phil Joanou,Final Analysis,,28590665.0,,1992
Andrew Bergman,The Freshman,,,,1990
Michael Haneke,Funny Games,,,,1997
Freddie Francis,Tales from the Crypt,,,,1972
Mario Van Peebles,New Jack City,8500000.0,47624253.0,5.602853294117647,1991
Richard Linklater,Slacker,,,,1990
John Badham,WarGames,12000000.0,79567667.0,6.630638916666666,1983
Henry Koster,Mr. Hobbs Takes a Vacation,2000000.0,,,1962
Carl Theodor Dreyer,Ordet,,,,1955
René Clément,Forbidden Games,,10188.0,,1952
Robert Stevenson,Jane Eyre,,,,1943
Jack Conway,A Tale of Two Cities,,,,1935
Carl Theodor Dreyer,The Passion of Joan of Arc,,,,1928
Charles Brabin,Ben-Hur: A Tale of the Christ,3900000.0,9000000.0,2.3076923076923075,1925
Robert Wiene,The Cabinet of Dr. Caligari,18000.0,,,1920
D.W. Griffith,Broken Blossoms,,,,1919
Michael Apted,Gorky Park,,16175602.0,,1983
Michael Crichton,The First Great Train Robbery,6000000.0,,,1979
Hugh Hudson,"Greystoke: The Legend of Tarzan, Lord of the Apes",,45858563.0,,1984
Hugh Wilson,Guarding Tess,20000000.0,,,1994
Woody Allen,Hannah and Her Sisters,6400000.0,40084041.0,6.26313140625,1986
John Badham,The Hard Way,,65595485.0,,1991
Arthur Allan Seidelman,Hercules in New York,,,,1969
Russell Mulcahy,Highlander II: The Quickening,30000000.0,15556340.0,0.5185446666666667,1991
Danny DeVito,Hoffa,35000000.0,,,1992
Michael Lessac,House of Cards,,,,1993
Frank Oz,Housesitter,,,,1992
Michael Lehmann,Hudson Hawk,65000000.0,17218080.0,0.26489353846153846,1991
Philip Kaufman,Invasion of the Body Snatchers,3500000.0,24046533.0,6.870438,1978
Bernt Amadeus Capra,Mindwalk,,,,1990
Steven Soderbergh,Kafka,11000000.0,,,1991
Ivan Reitman,Kindergarten Cop,15000000.0,201957688.0,13.463845866666666,1990
David S. Ward,King Ralph,,,,1991
Carl Schenkel,Knight Moves,,,,1992
Tony Scott,The Last Boy Scout,29000000.0,59509925.0,2.052066379310345,1991
Bernardo Bertolucci,Last Tango in Paris,1250000.0,36144000.0,28.9152,1972
George Miller,Lorenzo's Oil,,7286388.0,,1992
Jean-Jacques Annaud,The Lover,,,,1992
Pedro Almodóvar,Matador,,,,1986
James Orr,Mr. Destiny,20000000.0,15379253.0,0.76896265,1990
Charles Laughton,The Night of the Hunter,795000.0,,,1955
Robert Harmon,Nowhere to Run,,,,1993
Chris Columbus,Only the Lonely,,21830957.0,,1991
Menahem Golan,Over the Top,25000000.0,16057580.0,0.6423032,1987
Kevin Hooks,Passenger 57,15000000.0,44065653.0,2.9377102,1992
Alan J. Pakula,Presumed Innocent,22000000.0,221303188.0,10.059235818181818,1990
Jonathan Kaplan,Project X,18000000.0,18532286.0,1.0295714444444444,1987
Jocelyn Moorhouse,Proof,,524668.0,,1991
Nadia Tass,Pure Luck,17010000.0,24941969.0,1.4663121105232215,1991
Kinji Fukasaku,Battle Royale,4500000.0,25000000.0,5.555555555555555,2000
Ang Lee,The Wedding Banquet,1000000.0,6933459.0,6.933459,1993
Pier Paolo Pasolini,"Salò, or the 120 Days of Sodom",,,,1975
Keith Gordon,A Midnight Clear,,,,1992
Carl Reiner,Summer School,,35114428.0,,1987
Lawrence Kasdan,Silverado,26000000.0,,,1985
Bill Murray,Quick Change,,,,1990
David Cronenberg,Rabid,530000.0,,,1977
Richard Donner,Radio Flyer,35000000.0,4651977.0,0.13291362857142858,1992
Russell Mulcahy,The Real McCoy,,,,1993
Tony Scott,Revenge,,15645616.0,,1990
Herbert Ross,The Secret of My Success,12000000.0,110996879.0,9.249739916666666,1987
Lukas Moodysson,Show Me Love,,,,1998
Walter Hill,Streets of Fire,14500000.0,8089290.0,0.5578820689655173,1984
Rod Daniel,Teen Wolf,,,,1985
Pedro Almodóvar,High Heels,,1710057.0,,1991
Rodrigo García,Things You Can Tell Just by Looking at Her,,,,1999
Michael Apted,Thunderheart,,,,1992
William Friedkin,To Live and Die in L.A.,,17307019.0,,1985
George Gallo,Trapped in Paradise,,5777916.0,,1994
Jean-Jacques Beineix,Betty Blue,,2003822.0,,1986
Jean-Luc Godard,Vivre Sa Vie,64000.0,24517.0,0.383078125,1962
David Lynch,Wild at Heart,9500000.0,14560247.0,1.5326575789473684,1990
Nicolas Roeg,The Witches,,15360553.0,,1990
George Miller,The Witches of Eastwick,,63766510.0,,1987
Michael Cimino,Year of the Dragon,24000000.0,18707466.0,0.77947775,1985
Steve Oedekerk,Nothing to Lose,25000000.0,,,1997
Thornton Freeland,Flying Down to Rio,,,,1933
Mark Sandrich,Follow the Fleet,,,,1936
Clive Donner,What's New Pussycat?,,,,1965
John Ford,Mary of Scotland,864000.0,1276000.0,1.4768518518518519,1936
William A. Seiter,Roberta,,,,1935
Mervyn LeRoy,Little Women,,,,1949
George Stevens,Swing Time,886000.0,2600000.0,2.9345372460496613,1936
William A. Wellman,The Public Enemy,,,,1931
William Dieterle,A Midsummer Night's Dream,,,,1935
Michael Curtiz,Life with Father,,,,1947
Clarence Brown,National Velvet,,,,1944
Norman Jewison,Jesus Christ Superstar,,13200000.0,,1973
Edmund Goulding,Dark Victory,,,,1939
John Frankenheimer,Birdman of Alcatraz,2650000.0,3100000.0,1.169811320754717,1962
Werner Herzog,Aguirre: The Wrath of God,92000.0,,,1972
Jean Cocteau,Beauty and the Beast,,,,1946
D.W. Griffith,The Birth of a Nation,100000.0,11000000.0,110.0,1915
Tian Zhuangzhuang,The Blue Kite,,,,1994
Federico Fellini,Juliet of the Spirits,,,,1965
Alain Resnais,Last Year at Marienbad,,,,1961
Roman Polanski,The Tragedy of Macbeth,,,,1971
Howard Hawks,Red River,3000000.0,9012000.0,3.004,1948
John Cassavetes,A Woman Under the Influence,,,,1974
John Ford,Stagecoach,531374.0,1103757.0,2.0771753981188392,1939
Blake Edwards,A Shot in the Dark,,12368234.0,,1964
Buster Keaton,The Navigator,,,,1924
Melvin Frank,The Court Jester,4000000.0,,,1955
Peter Yates,Bullitt,5500000.0,42300873.0,7.691067818181819,1968
D.W. Griffith,Way Down East,,,,1920
William Wyler,Jezebel,1250000.0,,,1938
William Dieterle,The Hunchback of Notre Dame,,,,1939
Lloyd Bacon,42nd Street,439000.0,2281000.0,5.195899772209567,1933
Wesley Ruggles,I'm No Angel,225000.0,2850000.0,12.666666666666666,1933
Delbert Mann,That Touch of Mink,,,,1962
Karel Reisz,Sweet Dreams,,,,1985
Herbert Ross,"Play It Again, Sam",,,,1972
Norman Jewison,Send Me No Flowers,,,,1964
Leslie Howard,Pygmalion,,,,1938
David Lean,A Passage to India,8000000.0,27187653.0,3.398456625,1984
Marcel Camus,Black Orpheus,,,,1959
Federico Fellini,Amarcord,,,,1973
Zhang Yimou,Hero,31000000.0,177394432.0,5.722401032258064,2002
Norman Z. McLeod,Horse Feathers,,,,1932
Clarence Brown,Anna Karenina,1152000.0,1439000.0,1.2491319444444444,1935
Billy Wilder,The Front Page,4000000.0,,,1974
Russell DeGrazier,Attraction,,,,2001
Richard Brooks,Looking for Mr. Goodbar,,22512655.0,,1977
Thomas Riedelsheimer,Rivers and Tides,,,,2001
Christian Carion,The Girl from Paris,,,,2001
John Boulting,Seven Days to Noon,,,,1950
Hayao Miyazaki,Nausicaä of the Valley of the Wind,1000000.0,3301446.0,3.301446,1984
Chris Menges,CrissCross,,,,1992
Michael Caton-Jones,Doc Hollywood,,,,1991
Tom Mankiewicz,Dragnet,20000000.0,66673516.0,3.3336758,1987
Tom Ropelewski,MadHouse,,,,1990
Steven Spielberg,1941,35000000.0,31755742.0,0.9073069142857143,1979
Michael Corrente,A Shot at Glory,,,,2000
Jean-Jacques Annaud,Black and White in Color,,,,1976
Colin Higgins,Foul Play,,,,1978
Kirk Wong,Crime Story,,194720.0,,1993
Wim Wenders,Beyond the Clouds,,,,1995
Yasuzô Masumura,Blind Beast,,,,1969
David Lean,Ryan's Daughter,,,,1970
Joseph Losey,Accident,600000.0,,,1967
Nicolás Echevarría,Cabeza de Vaca,,,,1991
William Wyler,The Collector,,,,1965
Dario Argento,Deep Red,,,,1975
Henri-Georges Clouzot,Diabolique,,,,1955
Mark Jones,Leprechaun,900000.0,8556940.0,9.507711111111112,1993
Hiroyuki Yamaga,Royal Space Force - The Wings Of Honneamise,8000000.0,,,1987
Tony Bill,Crazy People,,,,1990
Richard Friedman,Dark Wolf,2500000.0,,,2003
George Cukor,Adam's Rib,,,,1949
Philippe de Broca,King of Hearts,,,,1966
David Cronenberg,Naked Lunch,16000000.0,,,1991
Ron Mann,Grass,,,,1999
Tom Gilroy,Spring Forward,,,,1999
John Cassavetes,The Killing of a Chinese Bookie,,,,1976
Geoff Burrowes,Run,16000000.0,4409328.0,0.275583,1991
William Cameron Menzies,Things to Come,,,,1936
Jon Amiel,Queen of Hearts,,,,1989
John Schlesinger,Darling,,,,1965
Delmer Daves,A Summer Place,,,,1959
Sam Wood,A Night at the Opera,,,,1935
Charles Band,Metalstorm: The Destruction of Jared-Syn,,,,1983
Lars von Trier,The Element of Crime,,,,1984
François Truffaut,Shoot the Piano Player,,,,1960
François Truffaut,Stolen Kisses,350000.0,,,1968
Wayne Kramer,The Cooler,32000000.0,,,2003
Pablo Trapero,El Bonaerense,,,,2002
Jim Sheridan,In America,,,,2003
Charles Atlas,The Legend of Leigh Bowery,,,,2002
Jonathan Karsh,My Flesh and Blood,,,,2003
Bille Woodruff,Honey,18000000.0,62646763.0,3.480375722222222,2003
Edward Zwick,The Last Samurai,140000000.0,456758981.0,3.26256415,2003
